          5        1050

                COND. CRYSTAL PARAMETERS

        Rho         A       Z        IS171      IS5000       IK171      IK5000
     2.570E+06      56      26      0.4427      1.3131      2.5485      3.8979
     2.630E+06      56      26      0.4422      1.3098      2.5486      3.8959
     2.692E+06      56      26      0.4417      1.3065      2.5483      3.8935
     2.754E+06      56      26      0.4413      1.3032      2.5480      3.8911
     2.818E+06      56      26      0.4408      1.3000      2.5478      3.8888
     2.884E+06      56      26      0.4403      1.2967      2.5475      3.8864
     2.951E+06      56      26      0.4398      1.2935      2.5473      3.8841
     3.020E+06      56      26      0.4393      1.2902      2.5470      3.8817
     3.090E+06      56      26      0.4388      1.2869      2.5467      3.8793
     3.162E+06      56      26      0.4383      1.2837      2.5465      3.8770
     3.236E+06      56      26      0.4378      1.2804      2.5462      3.8746
     3.311E+06      56      26      0.4373      1.2772      2.5460      3.8722
     3.388E+06      56      26      0.4368      1.2739      2.5457      3.8699
     3.467E+06      56      26      0.4364      1.2706      2.5454      3.8675
     3.548E+06      56      26      0.4359      1.2674      2.5452      3.8651
     3.631E+06      56      26      0.4354      1.2641      2.5449      3.8628
     3.715E+06      56      26      0.4349      1.2609      2.5447      3.8604
     3.802E+06      56      26      0.4344      1.2576      2.5444      3.8580
     3.890E+06      56      26      0.4339      1.2544      2.5441      3.8557
     3.981E+06      56      26      0.4334      1.2511      2.5439      3.8533
     4.074E+06      56      26      0.4329      1.2478      2.5436      3.8510
     4.169E+06      56      26      0.4324      1.2446      2.5434      3.8486
     4.266E+06      56      26      0.4319      1.2413      2.5431      3.8462
     4.365E+06      56      26      0.4315      1.2381      2.5428      3.8439
     4.467E+06      56      26      0.4310      1.2348      2.5426      3.8415
     4.571E+06      56      26      0.4305      1.2315      2.5423      3.8391
     4.677E+06      56      26      0.4300      1.2283      2.5421      3.8368
     4.786E+06      56      26      0.4295      1.2250      2.5418      3.8344
     4.898E+06      56      26      0.4290      1.2218      2.5415      3.8320
     5.012E+06      56      26      0.4285      1.2185      2.5413      3.8297
     5.129E+06      56      26      0.4280      1.2152      2.5410      3.8273
     5.248E+06      56      26      0.4275      1.2120      2.5408      3.8249
     5.370E+06      56      26      0.4270      1.2087      2.5405      3.8226
     5.495E+06      56      26      0.4266      1.2055      2.5402      3.8202
     5.623E+06      56      26      0.4261      1.2022      2.5400      3.8179
     5.754E+06      56      26      0.4256      1.1989      2.5397      3.8155
     5.888E+06      56      26      0.4251      1.1957      2.5395      3.8131
     6.026E+06      56      26      0.4246      1.1924      2.5392      3.8108
     6.166E+06      56      26      0.4241      1.1892      2.5389      3.8084
     6.310E+06      56      26      0.4236      1.1859      2.5387      3.8060
     6.457E+06      56      26      0.4231      1.1827      2.5384      3.8037
     6.607E+06      56      26      0.4225      1.1795      2.5383      3.8020
     6.761E+06      56      26      0.4206      1.1770      2.5389      3.8055
     6.918E+06      56      26      0.4187      1.1745      2.5395      3.8090
