 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  3.859E-01  9.319E+00  8.801E-01  9.938E-01  8.484E-01  1.292E-01
  3.872E-01  9.344E+00  8.884E-01  1.004E+00  8.472E-01  1.300E-01
  3.885E-01  9.369E+00  8.968E-01  1.014E+00  8.461E-01  1.308E-01
  3.898E-01  9.393E+00  9.050E-01  1.024E+00  8.450E-01  1.315E-01
  3.911E-01  9.416E+00  9.130E-01  1.034E+00  8.439E-01  1.323E-01
  3.925E-01  9.439E+00  9.211E-01  1.044E+00  8.428E-01  1.331E-01
  3.938E-01  9.462E+00  9.293E-01  1.054E+00  8.417E-01  1.338E-01
  3.951E-01  9.485E+00  9.374E-01  1.064E+00  8.406E-01  1.346E-01
  3.965E-01  9.507E+00  9.453E-01  1.073E+00  8.396E-01  1.354E-01
  3.978E-01  9.529E+00  9.531E-01  1.083E+00  8.385E-01  1.361E-01
  3.992E-01  9.550E+00  9.610E-01  1.093E+00  8.375E-01  1.369E-01
  4.006E-01  9.572E+00  9.689E-01  1.102E+00  8.364E-01  1.376E-01
  4.019E-01  9.593E+00  9.768E-01  1.112E+00  8.353E-01  1.383E-01
  4.033E-01  9.613E+00  9.844E-01  1.121E+00  8.343E-01  1.391E-01
  4.047E-01  9.633E+00  9.921E-01  1.131E+00  8.333E-01  1.398E-01
  4.060E-01  9.653E+00  9.998E-01  1.140E+00  8.322E-01  1.405E-01
  4.074E-01  9.673E+00  1.007E+00  1.150E+00  8.312E-01  1.413E-01
  4.088E-01  9.693E+00  1.015E+00  1.159E+00  8.302E-01  1.420E-01
  4.102E-01  9.712E+00  1.022E+00  1.168E+00  8.292E-01  1.427E-01
  4.116E-01  9.731E+00  1.030E+00  1.178E+00  8.282E-01  1.434E-01
  4.130E-01  9.749E+00  1.037E+00  1.187E+00  8.272E-01  1.441E-01
  4.144E-01  9.768E+00  1.045E+00  1.196E+00  8.262E-01  1.448E-01
  4.158E-01  9.786E+00  1.052E+00  1.205E+00  8.252E-01  1.456E-01
  4.172E-01  9.803E+00  1.059E+00  1.214E+00  8.242E-01  1.462E-01
  4.187E-01  9.821E+00  1.066E+00  1.223E+00  8.232E-01  1.469E-01
  4.201E-01  9.838E+00  1.074E+00  1.232E+00  8.222E-01  1.476E-01
  4.215E-01  9.855E+00  1.081E+00  1.241E+00  8.213E-01  1.483E-01
  4.230E-01  9.872E+00  1.088E+00  1.250E+00  8.203E-01  1.490E-01
  4.244E-01  9.888E+00  1.095E+00  1.259E+00  8.193E-01  1.497E-01
  4.258E-01  9.904E+00  1.102E+00  1.268E+00  8.184E-01  1.504E-01
  4.273E-01  9.920E+00  1.109E+00  1.276E+00  8.175E-01  1.510E-01
