         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
   73   8.812902E+03   7.758275E-01   3.462E+14   7.155E+33   2.031E-01      6.824E-01   4.205E-01   7.320E-01   1.778E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   74   8.852961E+03   7.820640E-01   3.382E+14   6.915E+33   1.987E-01      6.765E-01   4.107E-01   7.236E-01   1.766E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   75   8.892661E+03   7.882445E-01   3.304E+14   6.678E+33   1.942E-01      6.704E-01   4.006E-01   7.150E-01   1.753E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   76   8.932010E+03   7.943704E-01   3.226E+14   6.442E+33   1.897E-01      6.642E-01   3.901E-01   7.063E-01   1.740E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   77   8.971015E+03   8.004428E-01   3.149E+14   6.209E+33   1.851E-01      6.577E-01   3.793E-01   6.973E-01   1.726E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   78   9.009683E+03   8.064628E-01   3.073E+14   5.978E+33   1.804E-01      6.512E-01   3.680E-01   6.882E-01   1.712E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   79   9.048023E+03   8.124316E-01   2.997E+14   5.749E+33   1.761E-01      6.436E-01   3.545E-01   6.776E-01   1.699E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   80   9.086040E+03   8.183502E-01   2.922E+14   5.521E+33   1.717E-01      6.358E-01   3.401E-01   6.667E-01   1.686E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   81   9.123742E+03   8.242197E-01   2.847E+14   5.296E+33   1.675E-01      6.280E-01   3.253E-01   6.558E-01   1.672E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   82   9.161135E+03   8.297582E-01   2.794E+14   5.097E+33   1.644E-01      6.223E-01   3.143E-01   6.479E-01   1.663E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   83   9.198224E+03   8.350789E-01   2.755E+14   4.915E+33   1.621E-01      6.180E-01   3.055E-01   6.419E-01   1.655E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   84   9.235018E+03   8.403571E-01   2.715E+14   4.735E+33   1.598E-01      6.136E-01   2.965E-01   6.359E-01   1.648E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   85   9.271521E+03   8.455935E-01   2.676E+14   4.556E+33   1.576E-01      6.093E-01   2.877E-01   6.300E-01   1.641E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   86   9.307738E+03   8.507891E-01   2.638E+14   4.379E+33   1.554E-01      6.050E-01   2.785E-01   6.240E-01   1.633E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   87   9.343676E+03   8.559444E-01   2.599E+14   4.203E+33   1.531E-01      6.006E-01   2.688E-01   6.180E-01   1.626E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   88   9.379339E+03   8.610605E-01   2.561E+14   4.028E+33   1.509E-01      5.961E-01   2.585E-01   6.119E-01   1.618E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   89   9.414733E+03   8.661379E-01   2.523E+14   3.854E+33   1.487E-01      5.917E-01   2.483E-01   6.059E-01   1.611E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   90   9.449863E+03   8.711774E-01   2.486E+14   3.682E+33   1.466E-01      5.872E-01   2.378E-01   5.999E-01   1.604E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   91   9.484733E+03   8.761798E-01   2.448E+14   3.511E+33   1.444E-01      5.827E-01   2.266E-01   5.939E-01   1.596E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   92   9.519349E+03   8.811455E-01   2.411E+14   3.341E+33   1.422E-01      5.781E-01   2.144E-01   5.878E-01   1.588E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   93   9.553715E+03   8.860361E-01   2.374E+14   3.176E+33   1.400E-01      5.735E-01   2.007E-01   5.815E-01   1.581E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   94   9.587836E+03   8.904704E-01   2.332E+14   3.039E+33   1.376E-01      5.682E-01   1.868E-01   5.748E-01   1.572E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   95   9.621716E+03   8.948732E-01   2.291E+14   2.904E+33   1.352E-01      5.628E-01   1.708E-01   5.680E-01   1.563E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   96   9.655358E+03   8.992454E-01   2.249E+14   2.769E+33   1.328E-01      5.573E-01   1.516E-01   5.610E-01   1.554E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   97   9.688768E+03   9.035873E-01   2.208E+14   2.636E+33   1.303E-01      5.517E-01   1.265E-01   5.539E-01   1.545E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   98   9.721949E+03   9.078993E-01   2.167E+14   2.503E+33   1.280E-01      5.460E-01   1.130E-01   5.476E-01   1.536E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   99   9.754905E+03   9.121823E-01   2.127E+14   2.371E+33   1.257E-01      5.402E-01   1.001E-01   5.414E-01   1.527E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
